# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       2.950008548160e+11       8.686889704905e-21       1.571417669766e-06       1.877290962208e+17       1.424847712746e+04       4.829978250841e-08       4.203312932440e+15       9.072585282126e-07       2.083816257450e+34       6.389685661063e+25       3.359199052705e+26       4.793291203454e+33       1.597763734485e+33       3.483571410310e-08       9.610759390110e+33       3.524221356788e+34       3.524221356788e+34       1.174740438936e+34      -2.990268771014e+40       7.056231853482e-05       1.580791058358e-01 
       2.918468778851e+11       8.875661954307e-21       1.588399754837e-06       1.837363750485e+17       1.424847712744e+04       4.882175622588e-08       4.158373564274e+15       9.170632329266e-07       1.996119471219e+34       6.186924630591e+25       3.252603095154e+26       4.591566971526e+33       1.530522323842e+33       3.483571410310e-08       9.206293445119e+33       3.375905551596e+34       3.375905551596e+34       1.125301837628e+34      -2.833799449611e+40       7.068221726175e-05       1.578109553481e-01 
       2.887266214344e+11       9.068536354081e-21       1.605565557838e-06       1.798285731705e+17       1.424847712742e+04       4.934937089135e-08       4.113914661600e+15       9.269738966646e-07       1.912113378103e+34       5.990597724996e+25       3.149389699335e+26       4.398332243785e+33       1.466110747928e+33       3.483571410310e-08       8.818849328894e+33       3.233831572855e+34       3.233831572855e+34       1.077943845123e+34      -2.685517569011e+40       7.080211598882e-05       1.575437130515e-01 
       2.856397249442e+11       9.265602054612e-21       1.622916897759e-06       1.760038844787e+17       1.424847712740e+04       4.988268746631e-08       4.069931087560e+15       9.369916645343e-07       1.831642656382e+34       5.800500773081e+25       3.049451527933e+26       4.213229741979e+33       1.404409913993e+33       3.483571410310e-08       8.447710682846e+33       3.097736735160e+34       3.097736735160e+34       1.032578899622e+34      -2.544994711768e+40       7.092201471603e-05       1.572773743423e-01 
       2.825858317493e+11       9.466950129756e-21       1.640455593588e-06       1.722605412781e+17       1.424847712739e+04       5.042176757106e-08       4.026417760217e+15       9.471176939956e-07       1.754558521005e+34       5.616436082516e+25       2.952684649721e+26       4.035917223802e+33       1.345305741267e+33       3.483571410310e-08       8.092191296119e+33       2.967369408141e+34       2.967369408141e+34       9.891231243325e+33      -2.411824877883e+40       7.104191344337e-05       1.570119346438e-01 
       2.795645889977e+11       9.672673641165e-21       1.658183464315e-06       1.685968134699e+17       1.424847712737e+04       5.096667349181e-08       3.983369651970e+15       9.573531550311e-07       1.680718448496e+34       5.438212234258e+25       2.858988431472e+26       3.866066850114e+33       1.288688950038e+33       3.483571410310e-08       7.751633836841e+33       2.842488551219e+34       2.842488551219e+34       9.474961723970e+33      -2.285623311782e+40       7.116181217086e-05       1.567473894125e-01 
       2.765756476099e+11       9.882867670555e-21       1.676104147919e-06       1.650110077521e+17       1.424847712735e+04       5.151746818793e-08       3.940781788966e+15       9.676992302639e-07       1.609985913433e+34       5.265643883475e+25       2.768265433312e+26       3.703364578789e+33       1.234454859596e+33       3.483571410310e-08       7.425408636752e+33       2.722863267936e+34       2.722863267936e+34       9.076210783292e+33      -2.166025390679e+40       7.128171089849e-05       1.564837341350e-01 
       2.736186622386e+11       1.009762936251e-20       1.694217644399e-06       1.615014668367e+17       1.424847712733e+04       5.207421529916e-08       3.898649250532e+15       9.781571150922e-07       1.542230136032e+34       5.098551566803e+25       2.680421307379e+26       3.547509584069e+33       1.182503194690e+33       3.483571410310e-08       7.112912526996e+33       2.608272379041e+34       2.608272379041e+34       8.694241157127e+33      -2.052685571101e+40       7.140160962626e-05       1.562209643273e-01 
       2.706932912288e+11       1.031705798064e-20       1.712527591735e-06       1.580665686838e+17       1.424847712731e+04       5.263697915299e-08       3.856967168605e+15       9.887280178458e-07       1.477325840331e+34       4.936761515705e+25       2.595364699713e+26       3.398213700357e+33       1.132737900119e+33       3.483571410310e-08       6.813567722898e+33       2.498504013547e+34       2.498504013547e+34       8.328346608855e+33      -1.945276390546e+40       7.152150835417e-05       1.559590755375e-01 
       2.677991965780e+11       1.054125493376e-20       1.731033989927e-06       1.547047257518e+17       1.424847712730e+04       5.320582477211e-08       3.815730727164e+15       9.994131598938e-07       1.415153022574e+34       4.780105475765e+25       2.513007155245e+26       3.255200889423e+33       1.085066963141e+33       3.483571410310e-08       6.526820755677e+33       2.393355216994e+34       2.393355216994e+34       7.977850623612e+33      -1.843487521368e+40       7.164140708224e-05       1.556980633405e-01 
